,count,mean,std,min,25%,50%,75%,max,dtypes,n_na
principal_maneuver_5.0,250962.0,0.0015181581275252828,0.03893403862457497,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_6.0,250962.0,0.00020720268407169214,0.014393073910229155,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_7.0,250962.0,0.00038651269913373337,0.019656165612916384,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_8.0,250962.0,8.36780070289526e-05,0.009147203858147768,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_9.0,250962.0,0.004359225699508292,0.06588049897519542,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_10.0,250962.0,0.0010160900853515673,0.03186003281499945,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_11.0,250962.0,0.001577928132545963,0.03969187011185548,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_12.0,250962.0,0.0013667407814728922,0.036944258548446116,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_13.0,250962.0,0.006271865860170066,0.07894652869794799,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_14.0,250962.0,0.0031957029351057133,0.056440261436543675,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_15.0,250962.0,0.011902200333118161,0.10844623009751303,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_16.0,250962.0,0.003729648313290458,0.06095697534152565,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_17.0,250962.0,0.004777615734653055,0.06895512358683613,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_18.0,250962.0,0.0007252093942509225,0.0269199991311146,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_19.0,250962.0,0.003522445629218766,0.05924569176232402,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_20.0,250962.0,0.0009722587483364016,0.03116596431427727,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_21.0,250962.0,0.002438616204843761,0.04932219631428804,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_22.0,250962.0,0.00043432870315027774,0.02083606948631072,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_23.0,250962.0,0.0037734796503056237,0.06131276768353893,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_24.0,250962.0,0.0005658227141957747,0.0237803450816055,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_25.0,250962.0,0.0004144053681433843,0.020352770988833847,0.0,0.0,0.0,0.0,1.0,,
principal_maneuver_26.0,250962.0,0.005470947792892948,0.07376339338632526,0.0,0.0,0.0,0.0,1.0,,
Severity,,,,,,,,,int64,0.0
secu,,,,,,,,,float64,37257.0
YoB,,,,,,,,,int32,0.0
secu1,,,,,,,,,float64,213705.0
secu2,,,,,,,,,float64,213705.0
SecuA,,,,,,,,,float64,37257.0
SecuB,,,,,,,,,float64,37257.0
Security,,,,,,,,,int64,0.0
Num_Acc,,,,,,,,,int64,0.0
num_occupants,,,,,,,,,float64,213705.0
num_veh,,,,,,,,,object,213705.0
id_veh,,,,,,,,,object,0.0
year,,,,,,,,,int64,0.0
month,,,,,,,,,int64,0.0
day,,,,,,,,,int64,0.0
